city,date,ride_count,member_count,casual_count,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
NYC,2024-08-31,204,116,88,23.0,21.1,26.1,0.0,0.0,86.0,7.5,,1019.0,
NYC,2024-09-01,24769,16902,7867,24.7,22.8,29.4,0.0,0.0,235.0,8.3,,1012.5,
NYC,2024-09-02,28000,19504,8496,23.5,20.0,27.8,0.0,0.0,327.0,6.5,,1016.0,
NYC,2024-09-03,32742,26825,5917,20.6,16.7,25.0,0.0,0.0,352.0,9.5,,1026.4,
NYC,2024-09-04,35570,29381,6189,21.5,17.8,25.0,0.0,0.0,304.0,6.8,,1030.3,
NYC,2024-09-05,33867,27616,6251,21.9,18.9,26.1,0.0,0.0,64.0,11.5,,1027.9,
NYC,2024-09-06,34603,27297,7306,21.9,19.4,26.1,0.0,0.0,51.0,10.1,,1019.4,
NYC,2024-09-07,27951,20814,7137,20.5,17.2,25.0,8.4,0.0,173.0,8.0,,1011.6,
NYC,2024-09-08,31621,23015,8606,18.5,13.9,22.8,0.0,0.0,282.0,8.8,,1015.6,
NYC,2024-09-09,32857,27096,5761,20.2,14.4,25.0,0.0,0.0,262.0,11.2,,1018.8,
NYC,2024-09-10,36544,30172,6372,22.5,17.8,27.8,0.0,0.0,308.0,6.5,,1018.7,
NYC,2024-09-11,37297,30610,6687,22.2,18.9,26.7,0.0,0.0,72.0,8.7,,1022.5,
NYC,2024-09-12,37074,30395,6679,21.8,18.9,26.7,0.0,0.0,220.0,6.8,,1024.4,
NYC,2024-09-13,36827,29029,7798,22.6,19.4,27.0,0.0,0.0,351.0,4.7,,1024.2,
NYC,2024-09-14,36086,25419,10667,23.5,20.0,29.4,0.0,0.0,48.0,8.4,,1024.4,
NYC,2024-09-15,32473,23512,8961,22.9,19.4,26.7,0.0,0.0,67.0,13.4,,1027.2,
NYC,2024-09-16,33277,27488,5789,21.0,17.8,25.6,0.0,0.0,45.0,10.8,,1026.5,
NYC,2024-09-17,35655,29775,5880,22.2,19.4,26.7,0.0,0.0,65.0,11.2,,1023.0,
NYC,2024-09-18,36985,30972,6013,21.9,20.6,23.9,0.2,0.0,42.0,17.6,,1017.9,
NYC,2024-09-19,37944,31189,6755,24.6,20.6,30.0,0.0,0.0,25.0,8.2,,1012.3,
NYC,2024-09-20,38344,30268,8076,23.4,21.0,27.8,0.1,0.0,43.0,17.5,,1013.7,
NYC,2024-09-21,36914,26562,10352,21.9,18.9,26.1,0.0,0.0,45.0,15.2,,1015.6,
NYC,2024-09-22,32004,23438,8566,20.5,17.8,25.0,0.0,0.0,58.0,17.2,,1016.6,
NYC,2024-09-23,30189,25100,5089,18.5,17.0,20.6,0.0,0.0,52.0,13.9,,1018.2,
NYC,2024-09-24,34858,28736,6122,18.5,17.0,20.0,0.0,0.0,63.0,15.1,,1020.4,
NYC,2024-09-25,33761,28063,5698,18.7,17.2,20.0,0.2,0.0,63.0,16.6,,1021.3,
NYC,2024-09-26,31393,26082,5311,21.3,18.9,23.9,2.8,0.0,2.0,7.9,,1018.3,
NYC,2024-09-27,35430,28049,7381,20.9,18.9,22.2,1.7,0.0,31.0,10.9,,1016.2,
NYC,2024-09-28,17645,13747,3898,18.5,16.7,20.0,15.6,0.0,38.0,22.1,,1014.3,
NYC,2024-09-29,13619,10928,2691,17.4,16.7,19.9,1.4,0.0,35.0,15.3,,1016.7,
NYC,2024-09-30,32825,27472,5353,19.3,17.2,22.8,0.0,0.0,49.0,14.1,,1017.4,
