has_kiosk,eightd_has_key_dispenser,capacity,external_id,short_name,rental_methods,name,electric_bike_surcharge_waiver,rental_uris,lat,eightd_station_services,station_type,region_id,station_id,lng
False,False,16,2064975968599672936,32101,"['KEY', 'CREDITCARD']",Witter Field,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.805524,[],classic,40,2064975968599672936,-77.078791
True,False,16,3af8c81c-b8d8-4af7-afe9-332a2cac4672,31960,"['KEY', 'CREDITCARD']",Commonwealth and Reed,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.8368376462948,[],classic,40,3af8c81c-b8d8-4af7-afe9-332a2cac4672,-77.05727398395538
True,False,12,5e571279-84a3-4dd6-9ee5-6a834e4c624a,32607,"['KEY', 'CREDITCARD']",S Maple Ave & S Washington St,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.87972,[],classic,152,5e571279-84a3-4dd6-9ee5-6a834e4c624a,-77.178408
True,False,19,08254442-1f3f-11e7-bf6b-3863bb334450,31265,"['KEY', 'CREDITCARD']",5th St & Massachusetts Ave NW,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.90093,[],classic,42,08254442-1f3f-11e7-bf6b-3863bb334450,-77.018677
True,False,19,6ffb5d30-d3f4-462b-8182-c552bebc9310,32230,"['KEY', 'CREDITCARD']",McLean Metro,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.92400207520182,[],classic,104,6ffb5d30-d3f4-462b-8182-c552bebc9310,-77.20812678337097
True,False,55,0824d0c6-1f3f-11e7-bf6b-3863bb334450,31623,"['KEY', 'CREDITCARD']",Columbus Circle / Union Station,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.89696,[],classic,42,0824d0c6-1f3f-11e7-bf6b-3863bb334450,-77.00493
False,False,16,08253c6b-1f3f-11e7-bf6b-3863bb334450,31047,"['KEY', 'CREDITCARD']",Braddock Rd Metro North,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.814577,[],classic,40,08253c6b-1f3f-11e7-bf6b-3863bb334450,-77.052808
True,False,19,1932168474073292810,31725,"['KEY', 'CREDITCARD']",16th St & North Carolina Ave NE,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.893062,[],classic,,1932168474073292810,-76.982464
True,False,15,a3761e59-db36-4b61-8bb3-8d523af69b96,32082,"['KEY', 'CREDITCARD']",Garland Ave & Walden Rd,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",39.00048,[],classic,44,a3761e59-db36-4b61-8bb3-8d523af69b96,-77.00077
True,False,19,0825be05-1f3f-11e7-bf6b-3863bb334450,31637,"['KEY', 'CREDITCARD']",North Capitol St & G Pl NE,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.899703,[],classic,42,0825be05-1f3f-11e7-bf6b-3863bb334450,-77.008911
