id,station_name,short_name,total_docks,docks_in_service,status,lat,lng,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_8hcu_yrd4
a3aa5ed1-a135-11e9-9cda-0a87ae2ba916,Damen Ave & Charleston St,13288,11,11,In Service,41.920082,-87.677855,"{'type': 'Point', 'coordinates': [-87.677855, 41.920082]}",16,22535,23,178,40,1,32
a3b11480-a135-11e9-9cda-0a87ae2ba916,Laramie Ave & Kinzie St,530,11,11,In Service,41.887832,-87.755527,"{'type': 'Point', 'coordinates': [-87.755527, 41.887832]}",11,22216,26,673,45,32,37
a3ae82e0-a135-11e9-9cda-0a87ae2ba916,Warren Park West,RP-001,11,11,In Service,42.001785,-87.688829,"{'type': 'Point', 'coordinates': [-87.688829, 42.001785]}",42,22528,20,320,27,12,40
1872721624592814362,Lockwood Ave & Wrightwood Ave,21312,15,15,In Service,41.927766,-87.758544,"{'type': 'Point', 'coordinates': [-87.758544, 41.927766]}",7,22615,19,80,17,2,31
a3b3686c-a135-11e9-9cda-0a87ae2ba916,California Ave & Cortez St,17660,15,15,In Service,41.900363,-87.696704,"{'type': 'Point', 'coordinates': [-87.696704, 41.900363]}",24,21560,25,543,41,4,36
a3b3820c-a135-11e9-9cda-0a87ae2ba916,LaSalle Dr & Huron St,KP1705001026,19,19,In Service,41.894877,-87.632326,"{'type': 'Point', 'coordinates': [-87.632326, 41.894877]}",22,4446,37,670,11,55,42
1934289361049585738,California Ave & 36th St,21338,15,15,In Service,41.828098,-87.694684,"{'type': 'Point', 'coordinates': [-87.694684, 41.828098]}",29,22248,55,638,1,56,12
1850866657089146912,Blackstone Ave & 59th St,22004,19,19,In Service,41.787877,-87.590461,"{'type': 'Point', 'coordinates': [-87.590461, 41.787877]}",32,22260,8,477,33,60,3
a3ad5c90-a135-11e9-9cda-0a87ae2ba916,Dorchester Ave & 49th St,KA1503000069,15,15,In Service,41.805772,-87.592464,"{'type': 'Point', 'coordinates': [-87.592464, 41.805772]}",1,21192,5,356,10,10,9
a3b2af02-a135-11e9-9cda-0a87ae2ba916,MLK Jr Dr & 83rd St,586,11,11,In Service,41.743116,-87.6148,"{'type': 'Point', 'coordinates': [-87.6148, 41.743116]}",31,21546,40,406,32,61,4
a3b443ce-a135-11e9-9cda-0a87ae2ba916,Archer (Damen) Ave & 37th St,18022,11,11,In Service,41.826712,-87.683144,"{'type': 'Point', 'coordinates': [-87.683144, 41.826712]}",26,14924,56,719,1,37,12
a3a4f993-a135-11e9-9cda-0a87ae2ba916,Eckhart Park,13289,19,19,In Service,41.89637337,-87.66098386,"{'type': 'Point', 'coordinates': [-87.66098386, 41.89637337]}",41,22620,25,109,46,49,27
a3b41f78-a135-11e9-9cda-0a87ae2ba916,Clinton St & Jackson Blvd,638,31,31,In Service,41.8783166118,-87.6409810781,"{'type': 'Point', 'coordinates': [-87.640981078148, 41.878316611831]}",48,14914,29,786,36,45,34
1966306862968688728,Vincennes Ave & 79th St,24352,15,15,In Service,41.7506,-87.63409,"{'type': 'Point', 'coordinates': [-87.63409, 41.7506]}",17,21554,40,1,31,59,4
1594046405283107528,California & 16th St,,9,9,In Service,41.859228,-87.695562,"{'type': 'Point', 'coordinates': [-87.695562, 41.859228]}",11,14920,30,16,23,43,28
a3b48c07-a135-11e9-9cda-0a87ae2ba916,Leavitt St & Chicago Ave,18058,19,19,In Service,41.895501,-87.682017,"{'type': 'Point', 'coordinates': [-87.682017, 41.895501]}",16,21560,25,546,41,28,36
a3acfa38-a135-11e9-9cda-0a87ae2ba916,Yates Blvd & 75th St,KA1503000024,11,11,In Service,41.758768,-87.56644,"{'type': 'Point', 'coordinates': [-87.56644, 41.758768]}",43,22538,39,420,37,24,5
a3add889-a135-11e9-9cda-0a87ae2ba916,Central Park Ave & 24th St,15687,11,11,In Service,41.8481,-87.715068,"{'type': 'Point', 'coordinates': [-87.715068, 41.8481]}",14,21569,32,754,28,57,22
a3a9a24f-a135-11e9-9cda-0a87ae2ba916,Racine Ave & 15th St,13304,15,15,In Service,41.861267,-87.656625,"{'type': 'Point', 'coordinates': [-87.656625, 41.861267]}",8,14920,29,96,26,43,25
1978857650118994914,Indiana Ave & 133rd St,24409,16,16,In Service,41.6538,-87.61719,"{'type': 'Point', 'coordinates': [-87.61719, 41.6538]}",30,4460,51,10,43,47,11
1879441011318372516,Scottsdale Park,23113,11,11,In Service,41.741966,-87.736179,"{'type': 'Point', 'coordinates': [-87.736179, 41.741966]}",6,4300,69,197,30,8,18
a3a56075-a135-11e9-9cda-0a87ae2ba916,Desplaines St & Jackson Blvd,15539,27,27,In Service,41.8781189009,-87.6439476013,"{'type': 'Point', 'coordinates': [-87.643947601318, 41.878118900912]}",48,4452,29,786,36,45,34
1969236968943731106,Menard Ave & Lawrence Ave,24369,16,16,In Service,41.96788,-87.77274,"{'type': 'Point', 'coordinates': [-87.77274, 41.96788]}",20,21869,15,94,50,48,45
a3b20960-a135-11e9-9cda-0a87ae2ba916,Damen Ave & 51st St,554,7,7,In Service,41.800908,-87.674684,"{'type': 'Point', 'coordinates': [-87.674684, 41.800908]}",19,14924,59,686,2,37,16
a3a84fb8-a135-11e9-9cda-0a87ae2ba916,Clark St & Montrose Ave,KA1503000022,19,19,In Service,41.961588,-87.666036,"{'type': 'Point', 'coordinates': [-87.666036, 41.961588]}",13,21186,57,650,18,53,47
a3ae923d-a135-11e9-9cda-0a87ae2ba916,Clark St & Schreiber Ave,KA1504000156,15,15,In Service,41.999245,-87.671249,"{'type': 'Point', 'coordinates': [-87.671249, 41.999245]}",46,21853,10,242,24,9,40
a3a9bbf0-a135-11e9-9cda-0a87ae2ba916,Halsted St & 35th St,TA1308000043,15,15,In Service,41.830661,-87.647172,"{'type': 'Point', 'coordinates': [-87.647172, 41.830661]}",26,14924,58,172,48,37,7
a3b143aa-a135-11e9-9cda-0a87ae2ba916,Cicero Ave & Quincy St,16913,11,11,In Service,41.877613,-87.745405,"{'type': 'Point', 'coordinates': [-87.745405, 41.877613]}",11,22216,26,69,23,32,28
1593766343243326364,Pulaski Rd & 60th St,,9,9,In Service,41.784186,-87.722564,"{'type': 'Point', 'coordinates': [-87.722564, 41.784186]}",23,21867,63,339,6,58,23
