lng,eightd_has_key_dispenser,short_name,has_kiosk,rental_uris,lat,external_id,region_id,eightd_station_services,capacity,station_type,electric_bike_surcharge_waiver,rental_methods,name,station_id
-73.88762910982096,False,7983.02,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.82319448542357,1795146692060860976,71,[],24,classic,False,"['KEY', 'CREDITCARD']",Longfellow Ave & Aldus St,1795146692060860976
-73.96594,False,5388.01,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.716425,1786697771181570266,71,[],0,classic,False,"['KEY', 'CREDITCARD']",Kent Ave & Grand St,1786697771181570266
-74.00933,False,3460.06,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.65624,1900660954723519204,71,[],45,classic,False,"['KEY', 'CREDITCARD']",2 Ave & 37 St,1900660954723519204
-73.9311847,False,7579.01,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.7974772,20ff5447-eac3-43b7-820f-f6fa3a2e12a8,71,[],21,classic,False,"['KEY', 'CREDITCARD']",Pleasant Ave & E 120 St,20ff5447-eac3-43b7-820f-f6fa3a2e12a8
-73.98282002,False,4175.15,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.6772744,66de0d91-0aca-11e7-82f6-3863bb44ef7c,71,[],28,classic,False,"['KEY', 'CREDITCARD']",Union St & 4 Ave,66de0d91-0aca-11e7-82f6-3863bb44ef7c
-73.95076,False,3657.06,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.66318,d5cabb43-6c78-4022-964e-a8b02470509e,71,[],23,classic,False,"['KEY', 'CREDITCARD']",Sterling St & Nostrand Ave,d5cabb43-6c78-4022-964e-a8b02470509e
-73.9605695,False,3704.01,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.66314,56b3ca32-104a-4920-a879-a97a820858c4,71,[],27,classic,False,"['KEY', 'CREDITCARD']",Washington Ave & Empire Blvd,56b3ca32-104a-4920-a879-a97a820858c4
-73.9612390102593,False,5794.05,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.731734785883454,bfe5e69d-89ff-48b3-bf20-80cbdfa443e0,71,[],54,classic,False,"['KEY', 'CREDITCARD']",India St Pier,bfe5e69d-89ff-48b3-bf20-80cbdfa443e0
-74.013587,False,3356.05,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.652502,324e93c8-4f3d-4a5f-becd-00e6f49fe4dd,71,[],19,classic,False,"['KEY', 'CREDITCARD']",44 St & 2 Ave,324e93c8-4f3d-4a5f-becd-00e6f49fe4dd
-73.91099,False,8745.01,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.87471,1869753654337059182,71,[],21,classic,False,"['KEY', 'CREDITCARD']",Marble Hill Ave & W 225 St,1869753654337059182
